,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,BuiltInChildSeat,Roll_Stability,SafetyPowerWindows,WheelsDriven
398,2314,Medium Passenger Car,3499.0,N/A,N/A,1.43,FWD,P225/50R17,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,Se,FWD
399,2315,Medium Passenger Car,3499.0,N/A,N/A,1.43,FWD,P225/50R17,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,Se,FWD
400,2316,Medium Passenger Car,3376.0,N/A,N/A,1.53,RWD,P235/55R17,A,A,O,A,A,SF,A,A,S,OBS1,OB1,False,A,A,A,A,Se,RWD
401,2317,Van,4332.0,N/A,N/A,1.28,FWD,P225/60R16,O,O,O,S,S,SF,A,S,S,OTS1,OC3,False,S,A,A,O,Se,FWD
402,2318,Van,4332.0,N/A,N/A,1.28,FWD,P225/60R16,O,O,O,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,O,N/A,FWD
403,2320,Sport Utility Vehicle,4024.0,N/A,N/A,1.21,FWD,P235/65R16,S,A,S,S,A,SF,A,S,S,N/A,SC3,False,S,A,A,A,Se,FWD/AWD
404,2321,Medium Passenger Car,3000.0,N/A,N/A,1.32,FWD,P205/60R16,O,S,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
405,2323,Sport Utility Vehicle,4396.0,N/A,N/A,1.15,RWD,P265/70R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,RWD/AWD
406,2324,Heavy Passenger Car,3529.0,N/A,N/A,1.4,FWD,P215/55R17,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
407,2325,Medium Passenger Car,3214.0,N/A,N/A,1.42,FWD,P215/60R16,O,S,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,OnSe,FWD
408,2326,Medium Passenger Car,3214.0,N/A,N/A,1.4168,FWD,P215/60R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
409,2327,Compact Passenger Car,2597.0,N/A,N/A,1.34,FWD,P185/65R15,O,O,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Ae,FWD
410,2328,Sport Utility Vehicle,4258.0,N/A,N/A,1.11,RWD,P265/70R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,RWD/AWD
411,2330,Medium Passenger Car,3430.0,N/A,N/A,1.46,FWD,P225/50R17,O,A,O,A,S,SF,A,A,S,OTS1,SC2,False,S,A,A,A,Se,FWD
412,2332,Light Passenger Car,2459.0,N/A,N/A,1.32,FWD,P185/60R14,A,A,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
413,2338,Medium Passenger Car,3003.0,N/A,N/A,1.59,RWD,225/45R18,O,A,O,A,A,SF,A,A,S,STS1,SC2,False,A,A,A,A,Se,RWD
414,2339,Sport Utility Vehicle,4479.0,N/A,N/A,1.3,FWD,P235/65R17,S,S,S,S,A,SF,S,S,S,N/A,SC3,False,S,A,A,A,SnSe,FWD/AWD
415,2340,Heavy Passenger Car,3710.0,N/A,N/A,1.41,RWD,P215/65R17,O,O,O,S,A,SF,A,S,S,N/A,OC2,False,S,A,A,A,SeOn,RWD/AWD
416,2341,Van,4273.0,N/A,N/A,1.23,FWD,P215/65R16,A,A,A,S,S,SF,A,A,S,N/A,OC3,False,S,A,A,A,N/A,FWD
417,2342,Sport Utility Vehicle,3710.0,N/A,N/A,1.41,RWD,P215/65R17,O,O,O,S,A,SF,A,S,S,N/A,OC2,False,S,A,A,A,SeOn,RWD/AWD
418,2343,Heavy Passenger Car,3710.0,N/A,N/A,1.41,RWD,P215/65R17,O,O,O,S,A,SF,A,S,S,N/A,OC2,False,S,A,A,A,SeOn,RWD/AWD
419,2344,Sport Utility Vehicle,4153.0,N/A,N/A,1.12,RWD,P215/75R16,S,S,S,S,A,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD/4WD
420,2345,Sport Utility Vehicle,4150.0,N/A,N/A,1.17,RWD,P235/65R17,S,S,S,S,A,SF,A,S,S,N/A,SC2,False,S,A,A,A,SnSe,RWD/4WD
421,2347,Pickup,4500.0,N/A,N/A,1.21,RWD,P245/70R17,O,A,A,S,A,SF,A,S,S,N/A,OC1,False,A,A,A,A,N/A,RWD/4WD
422,2349,Sport Utility Vehicle,5030.0,N/A,N/A,1.14,RWD,P245/65R17,S,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD/AWD
423,2351,Medium Passenger Car,3701.0,N/A,N/A,1.43,RWD,225/40ZR18 (opt),S,S,S,S,S,SF/SR,A,S,S,STD1,SC2,False,S,S,A,A,SnSe,RWD/AWD
424,2365,Pickup,4485.0,N/A,N/A,1.16,RWD,P265/70R16,O,S,O,S,A,SF,A,S,S,OTAPSc,OC2,False,S,S,A,A,Se,RWD/AWD
425,2371,Heavy Passenger Car,3556.0,N/A,N/A,1.39,FWD,P225/60R16,O,A,O,S,A,SF,A,S,S,N/A,SC2,False,A,A,A,A,Se,FWD
426,2374,Sport Utility Vehicle,3876.0,N/A,N/A,1.2,FWD,P215/55R18,S,S,S,S,A,SF,A,S,S,OTS1,SC2,False,S,A,A,A,Se,FWD/4WD
427,2375,Sport Utility Vehicle,4322.0,N/A,N/A,1.25,FWD,P245/60R18,S,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD/AWD
428,2376,Van,6252.0,N/A,N/A,1.07,RWD,LT245/75R16,S,A,A,S,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,N/A,RWD
429,2378,Medium Passenger Car,3499.0,N/A,N/A,1.43,FWD,P225/50R17,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD
430,2383,Medium Passenger Car,3362.0,N/A,N/A,1.44,RWD,P205/55R16,S,S,S,A,A,SF/SR,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,RWD
431,2392,Medium Passenger Car,3433.0,N/A,N/A,1.44,FWD,P225/55R17,A,A,O,A,S,SF,A,S,S,OBS1,OB1,False,A,A,A,A,Se,FWD
432,2393,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,SF,A,S,N/A,OC2,False,A,A,A,A,Se,RWD/AWD
433,2394,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,S,A,S,N/A,OC2,False,A,A,A,A,Se,RWD/AWD
434,2397,Heavy Passenger Car,4022.0,N/A,N/A,1.45,RWD,P235/50R17,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,RWD/AWD
435,2400,Heavy Passenger Car,3774.0,N/A,N/A,1.38,FWD,P215/65R16,O,O,O,S,A,SF,S,A,A,SBS1,SB1,False,A,A,A,A,SeOn,FWD
